Date,Total_Rainfall,ANOM,Flood_Height_Max,Temperature,Dew Point,Humidity,Wind Speed,Pressure
10/20/2002,1.5,1.2,0,81.800,75.120,80.920,5.211,29.714
10/21/2002,40.8,1.2,0,82.250,74.292,78.167,7.045,29.713
10/22/2002,34,1.2,0,77.522,73.696,89.043,5.857,29.725
10/23/2002,0.5,1.2,0,79.375,72.667,80.375,9.042,29.701
10/24/2002,0,1.2,0,81.957,72.739,74.217,6.300,29.700
10/25/2002,0,1.2,0,83.000,74.875,77.583,4.476,29.721
10/26/2002,21.4,1.2,0,84.250,76.333,77.750,8.875,29.711
10/27/2002,40,1.2,0,84.125,76.083,78.042,5.409,29.680
10/28/2002,15.5,1.2,0,82.542,75.250,79.958,4.435,29.675
10/29/2002,3.5,1.2,0,82.000,74.920,80.800,5.227,29.679
10/30/2002,1.5,1.2,0,82.250,73.542,76.167,4.913,29.719
10/31/2002,14.5,1.2,0,82.917,74.542,77.375,5.522,29.725
11/1/2002,6.5,1.41,0,84.250,76.750,78.313,5.313,29.718
11/2/2002,1.5,1.41,0,84.292,75.583,76.375,6.583,29.681
11/3/2002,17,1.41,0,83.458,76.083,78.750,4.875,29.698
11/4/2002,33,1.41,0,82.696,75.696,80.435,5.087,29.686
11/5/2002,6,1.41,0,82.042,75.500,81.750,5.143,29.666
11/6/2002,0,1.41,0,81.833,75.250,81.792,4.478,29.675
11/7/2002,45.3,1.41,0,80.478,75.783,86.478,4.714,29.706
11/8/2002,3,1.41,0,82.625,75.250,79.458,4.458,29.706
11/9/2002,11,1.41,0,81.917,76.500,84.333,4.739,29.690
11/10/2002,0,1.41,0,83.542,76.583,80.292,4.333,29.681
11/11/2002,40.5,1.41,0,83.750,76.583,79.958,4.727,29.696
11/12/2002,30,1.41,0,81.083,76.333,86.208,5.682,29.681
11/13/2002,0.5,1.41,0,83.958,76.500,79.208,5.783,29.625
11/14/2002,32.5,1.41,0,82.500,75.917,81.583,7.000,29.628
11/15/2002,26.5,1.41,0,80.833,75.750,85.375,5.333,29.691
11/16/2002,2.5,1.41,0,83.167,75.333,78.417,4.714,29.689
11/17/2002,4,1.41,0,82.708,76.000,81.458,6.000,29.675
11/18/2002,12,1.41,0,83.625,75.125,76.708,4.913,29.630
11/19/2002,49.3,1.41,0,82.208,75.833,82.042,6.190,29.646
11/20/2002,10.5,1.41,0,80.720,75.480,85.240,4.667,29.674
11/21/2002,34,1.41,0,81.125,76.000,85.125,5.682,29.671
11/22/2002,41,1.41,0,80.875,75.583,84.917,8.125,29.673
11/23/2002,34,1.41,0,81.542,75.083,81.958,9.292,29.676
11/24/2002,16.5,1.41,0,80.042,73.667,82.417,8.292,29.705
11/25/2002,0,1.41,0,82.375,74.208,77.292,3.833,29.698
11/26/2002,11,1.41,0,82.375,75.667,81.500,6.333,29.723
11/27/2002,20,1.41,0,81.826,74.043,78.435,5.826,29.753
11/28/2002,0,1.41,0,81.913,75.000,80.739,6.136,29.781
11/29/2002,22.5,1.41,0,79.458,73.208,81.625,6.474,28.572
11/30/2002,0,1.41,0,82.542,73.375,74.958,4.278,29.770
12/1/2002,8.8,1.31,0,81.500,74.167,79.958,4.182,29.748
12/2/2002,0,1.31,0,82.708,73.208,74.417,7.526,29.741
12/3/2002,1,1.31,0,83.333,74.333,75.792,5.636,29.730
12/4/2002,0,1.31,0,83.500,75.042,77.375,5.739,29.726
12/5/2002,0.5,1.31,0,83.500,75.667,78.792,4.583,29.724
12/6/2002,63.8,1.31,0,83.208,76.500,81.083,4.917,29.723
12/7/2002,0,1.31,0,83.875,76.167,78.833,6.800,29.719
12/8/2002,2.5,1.31,0,84.292,75.583,76.583,8.714,29.718
12/9/2002,12,1.31,0,80.250,74.917,85.042,4.875,29.758
12/10/2002,55.5,1.31,0,82.917,75.625,79.667,7.571,29.736
12/11/2002,0.5,1.31,0,83.958,74.625,74.667,5.583,29.761
12/12/2002,22,1.31,0,84.708,74.458,71.958,9.250,29.809
12/13/2002,0.5,1.31,0,83.583,73.708,72.375,10.167,29.819
12/14/2002,0,1.31,0,83.333,74.625,76.208,9.417,29.790
12/15/2002,0,1.31,0,84.750,74.125,71.083,9.583,29.760
12/16/2002,0,1.31,0,84.667,74.542,72.583,7.870,29.734
12/17/2002,4.5,1.31,0,84.583,74.375,72.208,7.304,29.711
12/18/2002,2,1.31,0,84.583,76.167,76.792,5.435,29.693
12/19/2002,0,1.31,0,85.167,74.292,70.500,8.667,29.643
12/20/2002,0,1.31,0,84.591,75.409,74.864,4.900,29.625
12/21/2002,0,1.31,0,85.083,76.500,76.250,6.957,29.625
12/22/2002,2.5,1.31,0,84.792,76.833,77.500,9.826,29.641
12/23/2002,0.5,1.31,0,84.333,74.833,73.875,9.458,29.653
12/24/2002,0,1.31,0,84.375,76.500,78.292,8.917,29.650
12/25/2002,0,1.31,0,84.875,76.500,76.583,6.217,29.636
12/26/2002,24,1.31,0,82.792,76.625,82.417,5.217,29.658
12/27/2002,0.5,1.31,0,80.625,75.333,85.167,4.000,29.704
12/28/2002,60.5,1.31,0,80.958,75.333,84.042,9.000,29.734
12/29/2002,0,1.31,0,81.875,72.333,74.000,5.773,29.770
12/30/2002,0.8,1.31,0,82.667,74.917,78.542,6.200,29.756
12/31/2002,0,1.31,0,82.917,73.333,73.792,6.250,29.746
1/1/2003,0,0.7,0,83.542,75.208,77.083,8.333,29.740
1/2/2003,26,0.7,0,80.958,76.000,85.833,7.125,29.763
1/3/2003,1.5,0.7,0,82.708,74.583,78.333,6.435,29.755
1/4/2003,0,0.7,0,82.708,73.625,74.958,8.696,29.749
1/5/2003,0,0.7,0,82.792,75.417,79.333,8.625,29.755
1/6/2003,0,0.7,0,83.208,74.750,76.542,5.667,29.751
1/7/2003,55.8,0.7,0,80.167,74.125,83.083,6.087,29.775
1/8/2003,36.5,0.7,0,82.417,75.083,79.750,9.208,29.736
1/9/2003,10.5,0.7,0,83.130,76.391,80.739,7.783,29.698
1/10/2003,0,0.7,0,83.375,76.583,80.667,10.286,29.685
1/11/2003,0.5,0.7,0,83.792,75.500,76.708,10.583,29.710
1/12/2003,6,0.7,0,83.500,74.333,74.917,11.625,29.719
1/13/2003,0.5,0.7,0,83.125,72.375,70.875,7.167,29.705
1/14/2003,37.5,0.7,0,83.292,74.500,76.125,8.375,29.715
1/15/2003,0.5,0.7,0,82.957,74.522,76.870,8.304,29.742
1/16/2003,0.5,0.7,0,83.417,73.375,72.792,8.583,29.731
1/17/2003,0,0.7,0,82.750,73.375,74.333,11.625,29.750
1/18/2003,1,0.7,0,81.667,74.000,78.750,11.000,29.765
1/19/2003,0,0.7,0,81.750,73.000,76.083,14.208,29.766
1/20/2003,0,0.7,0,81.833,72.375,74.125,10.917,29.750
1/21/2003,0,0.7,0,82.000,72.250,73.458,9.125,29.739
1/22/2003,0,0.7,0,80.292,74.417,83.250,4.150,29.735
1/23/2003,0,0.7,0,81.250,72.458,75.333,7.667,29.720
1/24/2003,0,0.7,0,81.083,72.875,77.333,8.083,29.705
1/25/2003,0,0.7,0,82.500,74.417,78.333,8.125,29.699
1/26/2003,0,0.7,0,82.375,74.625,79.125,8.583,29.690
1/27/2003,0,0.7,0,82.292,75.917,82.042,10.417,29.709
1/28/2003,0,0.7,0,82.250,72.625,73.667,16.250,29.743
1/29/2003,0,0.7,0,80.750,75.167,84.167,12.583,29.733
1/30/2003,4,0.7,0,81.708,75.083,81.208,12.042,29.740
1/31/2003,8,0.7,0,81.208,74.917,82.417,10.958,29.754
2/1/2003,0.5,0.74,0,81.458,74.583,80.917,12.750,29.751
2/2/2003,17.6,0.74,0,81.583,74.250,79.750,14.250,29.759
2/3/2003,0,0.74,0,81.625,74.167,79.417,12.708,29.729
2/4/2003,0,0.74,0,81.375,74.167,80.042,12.917,29.736
2/5/2003,0,0.74,0,80.958,71.958,74.583,14.417,29.743
2/6/2003,0,0.74,0,80.739,73.043,78.435,10.478,29.730
2/7/2003,0,0.74,0,81.435,72.478,76.217,8.727,29.673
2/8/2003,2,0.74,0,81.958,75.000,81.125,5.000,29.673
2/9/2003,1.6,0.74,0,82.583,75.875,81.708,7.364,29.684
2/10/2003,19.9,0.74,0,82.304,75.826,82.261,7.714,29.700
2/11/2003,7.5,0.74,0,81.292,76.250,85.583,6.958,29.694
2/12/2003,0,0.74,0,82.042,73.625,77.292,10.708,29.666
2/13/2003,0,0.74,0,83.500,70.125,66.542,11.167,29.678
2/14/2003,0,0.74,0,81.667,74.958,81.208,10.917,29.703
2/15/2003,0,0.74,0,82.917,72.625,72.750,11.958,29.713
2/16/2003,0,0.74,0,81.917,74.125,78.875,9.208,29.721
2/17/2003,0,0.74,0,81.208,74.833,82.375,6.727,29.740
2/18/2003,0,0.74,0,82.304,74.565,79.000,8.783,29.723
2/19/2003,0,0.74,0,80.696,74.043,81.652,10.304,29.743
2/20/2003,0,0.74,0,80.500,72.625,78.458,7.708,29.756
2/21/2003,0,0.74,0,81.458,73.750,79.042,8.958,29.764
2/22/2003,0,0.74,0,81.522,74.391,81.000,7.143,29.734
2/23/2003,2,0.74,0,82.042,74.375,79.500,7.000,29.723
2/24/2003,0.5,0.74,0,82.174,74.174,78.565,9.190,29.687
2/25/2003,0,0.74,0,81.500,73.208,77.875,8.542,29.695
2/26/2003,0,0.74,0,80.833,73.542,79.708,9.182,29.685
2/27/2003,0,0.74,0,81.167,74.333,81.458,6.045,29.694
2/28/2003,46.5,0.74,0,80.958,74.458,82.250,7.125,29.694
3/1/2003,3,0.45,0,81.045,74.682,82.591,7.857,29.675
3/2/2003,3,0.45,0,81.458,75.000,82.583,6.500,29.669
3/3/2003,2,0.45,0,81.208,75.833,84.917,4.857,29.690
3/4/2003,7.5,0.45,0,82.087,72.087,73.000,7.565,29.676
3/5/2003,0,0.45,0,83.083,74.208,76.708,5.500,29.676
3/6/2003,0,0.45,0,83.292,74.417,76.958,5.375,29.698
3/7/2003,0,0.45,0,83.083,76.000,80.708,7.476,29.693
3/8/2003,0,0.45,0,83.083,76.917,82.417,9.792,29.675
3/9/2003,0,0.45,0,83.708,76.250,79.583,9.043,29.699
3/10/2003,17,0.45,0,82.042,73.958,77.875,7.542,29.749
3/11/2003,0,0.45,0,82.667,72.792,73.208,11.250,29.741
3/12/2003,0,0.45,0,82.292,73.208,75.417,11.292,29.761
3/13/2003,0,0.45,0,81.708,73.000,76.208,12.750,29.766
3/14/2003,4,0.45,0,81.375,73.333,78.208,9.167,29.770
3/15/2003,0,0.45,0,81.750,74.083,79.333,6.600,29.744
3/16/2003,60.5,0.45,0,82.708,75.500,80.500,4.773,29.743
3/17/2003,12.5,0.45,0,82.625,75.375,80.583,5.182,29.759
3/18/2003,1.5,0.45,0,82.042,74.708,79.875,5.238,29.774
3/19/2003,0.5,0.45,0,80.875,75.000,83.417,5.417,29.755
3/20/2003,2,0.45,0,82.870,75.957,80.609,7.409,29.698
3/21/2003,52,0.45,0,81.217,75.957,85.348,5.250,29.707
3/22/2003,14,0.45,0,81.000,74.750,83.167,5.682,29.735
3/23/2003,16.5,0.45,0,81.167,74.833,82.708,6.773,29.746
3/24/2003,4,0.45,0,82.375,75.167,79.917,8.391,29.715
3/25/2003,0.8,0.45,0,83.083,75.042,78.000,7.682,29.715
3/26/2003,0,0.45,0,84.500,72.583,68.667,8.792,29.696
3/27/2003,34.8,0.45,0,80.292,74.917,84.833,5.870,29.716
3/28/2003,14,0.45,0,81.360,74.400,81.320,5.773,29.691
3/29/2003,3,0.45,0,81.208,74.667,81.833,5.417,29.686
3/30/2003,29,0.45,0,82.708,74.708,78.042,4.850,29.719
3/31/2003,0.5,0.45,0,81.792,73.917,78.625,4.958,29.726
4/1/2003,15.8,-0.05,0,83.292,75.042,77.458,4.542,29.681
4/2/2003,14.2,-0.05,0,83.692,74.846,75.308,4.500,29.669
4/3/2003,0,-0.05,0,83.208,74.750,77.083,4.000,29.681
4/4/2003,0,-0.05,0,83.292,75.917,79.625,5.944,29.676
4/5/2003,2,-0.05,0,83.583,75.667,77.833,6.917,29.681
4/6/2003,11,-0.05,0,83.458,75.833,78.542,6.958,29.710
4/7/2003,0,-0.05,0,83.833,75.833,77.833,4.500,29.728
4/8/2003,2.5,-0.05,0,85.292,77.125,76.833,6.583,29.696
4/9/2003,0,-0.05,0,85.292,76.667,75.583,6.381,29.689
4/10/2003,5.5,-0.05,0,86.304,74.652,69.348,9.087,29.711
4/11/2003,10.5,-0.05,0,84.000,75.789,77.316,6.176,29.729
4/12/2003,0,-0.05,0,85.526,75.105,71.947,6.684,29.704
4/13/2003,0,-0.05,0,85.304,75.043,72.261,5.450,29.683
4/14/2003,0,-0.05,0,84.792,75.833,75.208,4.708,29.695
4/15/2003,22,-0.05,0,83.500,75.750,77.833,5.652,29.725
4/16/2003,0,-0.05,0,85.000,74.375,73.042,5.783,29.744
4/17/2003,0,-0.05,0,83.792,75.667,77.583,4.875,29.725
4/18/2003,1.5,-0.05,0,83.583,74.833,76.125,5.435,29.694
4/19/2003,0,-0.05,0,84.565,75.739,75.826,4.476,29.640
4/20/2003,7.5,-0.05,0,82.833,75.083,78.625,5.391,29.680
4/21/2003,0,-0.05,0,84.625,76.333,76.708,8.417,29.683
4/22/2003,0,-0.05,0,84.957,76.130,75.696,6.609,29.687
4/23/2003,0.5,-0.05,0,85.250,77.417,77.333,7.667,29.664
4/24/2003,4.5,-0.05,0,84.083,77.083,80.000,5.087,29.671
4/25/2003,2,-0.05,0,82.833,77.000,83.208,4.625,29.685
4/26/2003,15.5,-0.05,0,85.000,76.583,76.375,7.250,29.633
4/27/2003,0.5,-0.05,0,85.042,76.625,76.125,6.304,29.608
4/28/2003,0,-0.05,0,85.208,76.833,76.500,5.381,29.619
4/29/2003,20.5,-0.05,0,83.958,77.917,82.417,4.917,29.641
4/30/2003,5.5,-0.05,0,81.875,76.667,84.625,3.652,29.663
5/1/2003,18.5,-0.52,0,81.375,75.583,83.583,4.818,29.644
5/2/2003,0,-0.52,0,83.333,77.500,83.083,5.000,29.648
5/3/2003,8,-0.52,0,82.542,76.917,83.583,4.591,29.653
5/4/2003,2.5,-0.52,0,80.294,76.176,87.824,3.100,29.665
5/5/2003,0,-0.52,0,84.167,74.875,75.250,5.000,29.656
5/6/2003,0,-0.52,0,85.000,77.250,78.333,5.565,29.628
5/7/2003,6.5,-0.52,0,84.800,76.880,78.600,5.565,29.616
5/8/2003,29.5,-0.52,0,84.000,77.083,81.083,4.957,29.633
5/9/2003,14.5,-0.52,0,82.760,77.400,84.680,5.571,29.647
5/10/2003,90.3,-0.52,0,80.875,75.667,85.167,9.833,29.675
5/11/2003,2.5,-0.52,0,80.083,73.500,81.583,4.773,29.696
5/12/2003,1.6,-0.52,0,84.636,74.091,72.000,6.500,29.652
5/13/2003,25.4,-0.52,0,81.875,74.917,80.667,8.826,29.680
5/14/2003,1.5,-0.52,0,82.333,73.750,76.000,6.391,29.664
5/15/2003,24.5,-0.52,0,80.435,73.783,81.348,11.783,29.689
5/16/2003,1,-0.52,0,83.292,72.125,69.292,9.250,29.699
5/17/2003,0,-0.52,0,83.542,73.458,72.458,5.042,29.703
5/18/2003,0,-0.52,0,83.750,74.042,73.958,5.917,29.684
5/19/2003,5,-0.52,0,81.583,74.250,78.833,8.958,29.728
5/20/2003,0,-0.52,0,81.500,73.333,77.250,8.000,29.741
5/21/2003,0,-0.52,0,83.292,74.000,74.542,7.500,29.744
5/22/2003,0,-0.52,0,83.708,75.708,78.292,4.714,29.726
5/23/2003,0,-0.52,0,84.042,77.250,80.792,4.444,29.710
5/24/2003,0,-0.52,0,84.542,76.917,78.750,4.400,29.710
5/25/2003,0,-0.52,0,84.667,77.833,79.958,4.583,29.716
5/26/2003,0,-0.52,0,84.833,78.000,80.042,6.000,29.695
5/27/2003,0,-0.52,0,84.167,78.833,83.417,6.000,29.633
5/28/2003,0,-0.52,0,84.292,78.417,82.417,4.304,29.613
5/29/2003,0,-0.52,0,83.500,79.250,86.375,4.750,29.636
5/30/2003,0,-0.52,0,85.190,77.762,78.762,4.842,29.660
5/31/2003,0,-0.52,0,84.263,77.158,79.368,4.222,29.665
6/1/2003,0,-0.21,0,83.696,76.739,79.696,4.579,29.680
6/2/2003,0,-0.21,0,86.500,74.450,68.850,4.625,29.675
6/3/2003,0,-0.21,0,86.000,74.100,68.700,5.105,29.690
6/4/2003,0,-0.21,0,86.650,73.750,66.150,6.150,29.710
6/5/2003,4.5,-0.21,0,85.684,75.737,72.895,6.158,29.688
6/6/2003,0,-0.21,0,83.636,77.091,81.409,5.556,29.685
6/7/2003,10.5,-0.21,0,83.091,76.545,81.500,5.136,29.697
6/8/2003,31.6,-0.21,0,84.550,76.400,77.300,4.947,29.698
6/9/2003,0,-0.21,0,83.000,77.000,82.429,3.684,29.684
6/10/2003,0.8,-0.21,0,81.458,75.708,83.292,4.125,29.666
6/11/2003,7,-0.21,0,79.348,74.217,85.522,5.810,29.700
6/12/2003,9.5,-0.21,0,77.333,73.167,87.625,4.417,29.755
6/13/2003,2.3,-0.21,0,83.227,73.318,73.273,4.800,29.731
6/14/2003,0,-0.21,0,84.000,74.318,73.773,4.789,29.702
6/15/2003,0,-0.21,0,83.917,74.458,74.333,4.667,29.651
6/16/2003,0,-0.21,0,84.304,75.087,74.565,5.826,29.650
6/17/2003,6.3,-0.21,0,84.125,75.292,76.083,6.167,29.694
6/18/2003,0,-0.21,0,83.875,73.870,70.958,7.250,29.713
6/19/2003,35.5,-0.21,0,84.292,74.917,74.792,4.913,29.686
6/20/2003,2,-0.21,0,82.130,75.783,82.130,5.391,29.685
6/21/2003,1,-0.21,0,83.167,75.667,79.333,4.143,29.654
6/22/2003,4.5,-0.21,0,81.375,74.542,81.125,4.500,29.675
6/23/2003,8.5,-0.21,0,81.261,74.565,81.696,5.957,29.711
6/24/2003,6,-0.21,0,81.870,74.478,79.261,4.565,29.698
6/25/2003,0,-0.21,0,81.750,75.500,82.458,4.286,29.681
6/26/2003,30,-0.21,0,82.292,76.250,82.917,6.591,29.691
6/27/2003,2.5,-0.21,0,80.545,75.182,84.864,4.368,29.715
6/28/2003,6.5,-0.21,0,80.500,74.708,83.542,6.250,29.713
6/29/2003,0.5,-0.21,0,81.083,73.167,77.750,6.292,29.714
6/30/2003,15,-0.21,0,81.667,74.417,79.708,4.762,29.693
7/1/2003,60.5,0.24,0,82.833,74.417,76.958,5.273,29.690
7/2/2003,9.8,0.24,0,80.957,75.000,83.043,6.250,29.719
7/3/2003,21.5,0.24,0,79.958,74.917,85.750,5.850,29.709
7/4/2003,0.5,0.24,0,81.083,74.542,81.833,6.083,29.686
7/5/2003,61,0.24,0,80.292,74.833,84.667,4.750,29.716
7/6/2003,2,0.24,0,81.208,73.583,79.125,6.583,29.735
7/7/2003,0.5,0.24,0,81.792,73.583,77.250,3.727,29.718
7/8/2003,3,0.24,0,80.792,72.875,77.875,5.565,29.723
7/9/2003,0,0.24,0,80.130,74.174,83.217,4.227,29.704
7/10/2003,0,0.24,0,82.227,72.500,74.591,4.611,29.685
7/11/2003,0,0.24,0,84.000,74.208,73.750,5.143,29.679
7/12/2003,19.3,0.24,0,82.542,74.125,77.125,5.667,29.688
7/13/2003,54.5,0.24,0,80.217,74.478,83.870,4.591,29.693
7/14/2003,48,0.24,0,79.435,73.870,84.522,6.130,29.723
7/15/2003,1.5,0.24,0,80.958,73.000,77.500,5.833,29.708
7/16/2003,52.8,0.24,0,83.083,73.125,73.125,5.208,29.713
7/17/2003,16,0.24,0,81.042,74.917,83.417,4.900,29.715
7/18/2003,24.5,0.24,0,79.696,74.739,86.087,7.739,29.674
7/19/2003,0.5,0.24,0,82.522,74.826,78.304,9.217,29.639
7/20/2003,0,0.24,0,82.522,76.391,82.391,5.870,29.660
7/21/2003,0,0.24,0,83.870,74.739,75.304,5.304,29.656
7/22/2003,0,0.24,0,84.217,75.739,76.391,5.435,29.656
7/23/2003,0,0.24,0,83.375,75.500,78.083,4.591,29.669
7/24/2003,0,0.24,0,82.750,76.167,80.958,4.522,29.723
7/25/2003,0,0.24,0,85.250,74.083,70.958,5.750,29.719
7/26/2003,25.5,0.24,0,84.292,74.208,72.083,4.217,29.734
7/27/2003,0.5,0.24,0,83.565,74.261,75.217,5.190,29.750
7/28/2003,0.5,0.24,0,84.417,76.250,76.917,5.636,29.740
7/29/2003,9,0.24,0,81.696,73.826,78.391,6.130,29.757
7/30/2003,0,0.24,0,82.522,74.435,77.957,4.000,29.751
7/31/2003,0,0.24,0,84.000,74.000,73.478,4.950,29.721
8/1/2003,0,0.2,0,84.000,74.458,74.042,7.042,29.676
8/2/2003,0,0.2,0,84.042,75.083,74.958,8.773,29.653
8/3/2003,0,0.2,0,84.500,75.458,75.167,6.208,29.659
8/4/2003,0,0.2,0,83.667,74.167,74.208,6.857,29.699
8/5/2003,0,0.2,0,84.833,75.583,75.292,3.722,29.674
8/6/2003,4.5,0.2,0,85.261,76.478,75.478,5.800,29.653
8/7/2003,0.5,0.2,0,82.708,74.125,75.875,5.833,29.700
8/8/2003,0,0.2,0,86.136,74.773,69.727,4.900,29.678
8/9/2003,0,0.2,0,84.958,74.708,72.042,4.158,29.660
8/10/2003,3.3,0.2,0,80.917,75.417,84.208,4.773,29.683
8/11/2003,0.5,0.2,0,84.167,73.792,72.750,4.708,29.706
8/12/2003,35.5,0.2,0,83.652,75.870,78.304,3.556,29.727
8/13/2003,19,0.2,0,82.636,75.091,79.273,5.238,29.706
8/14/2003,77.5,0.2,0,81.417,75.750,83.917,5.609,29.675
8/15/2003,0,0.2,0,79.833,74.417,84.708,6.500,29.669
8/16/2003,6.5,0.2,0,82.083,74.333,78.458,5.857,29.668
8/17/2003,12.5,0.2,0,82.556,74.889,78.611,5.765,29.700
8/18/2003,20.5,0.2,0,79.870,75.130,86.304,5.789,29.719
8/19/2003,0,0.2,0,80.208,73.042,80.000,6.000,29.693
8/20/2003,0,0.2,0,83.750,74.208,74.250,3.682,29.660
